"test_name","metric","score","fcp","tbt","lcp","cls","performance.weight","accessibility.weight","best-practices.weight","seo.weight"
"is-on-https","Uses HTTPS",1,,,,,,,1,
"viewport","Has a `<meta name=""viewport"">` tag with `width` or `initial-scale`",1,,true,,,0,,,1
"first-contentful-paint","First Contentful Paint",0.5,,,,,10,,,
"largest-contentful-paint","Largest Contentful Paint",0,,,,,25,,,
"first-meaningful-paint","First Meaningful Paint",0.75,,,,,0,,,
"speed-index","Speed Index",0.05,,,,,10,,,
"screenshot-thumbnails","Screenshot Thumbnails",,,,,,0,,,
"final-screenshot","Final Screenshot",,,,,,0,,,
"total-blocking-time","Total Blocking Time",0.1,,,,,30,,,
"max-potential-fid","Max Potential First Input Delay",0.11,,,,,0,,,
"cumulative-layout-shift","Cumulative Layout Shift",1,,,,,15,,,
"errors-in-console","Browser errors were logged to the console",0,,,,,,,1,
"server-response-time","Reduce initial server response time",0,true,,true,,0,,,
"interactive","Time to Interactive",0.01,,,,,10,,,
"user-timings","User Timing marks and measures",,,,,,0,,,
"critical-request-chains","Avoid chaining critical requests",,true,,true,,0,,,
"redirects","Avoid multiple page redirects",1,true,,true,,0,,,
"image-aspect-ratio","Displays images with correct aspect ratio",1,,,,,,,1,
"image-size-responsive","Serves images with appropriate resolution",1,,,,,,,1,
"preload-fonts","Fonts with `font-display: optional` are preloaded",,,,,,,,0,
"deprecations","Uses deprecated APIs",0,,,,,,,1,
"mainthread-work-breakdown","Minimize main-thread work",0.1,,true,,,0,,,
"bootup-time","Reduce JavaScript execution time",0.29,,true,,,0,,,
"uses-rel-preload","Preload key requests",,true,,true,,0,,,
"uses-rel-preconnect","Preconnect to required origins",1,true,,true,,0,,,
"font-display","All text remains visible during webfont loads",1,true,,true,,0,,,
"diagnostics","Diagnostics",,,,,,0,,,
"network-requests","Network Requests",,,,,,0,,,
"network-rtt","Network Round Trip Times",,,,,,0,,,
"network-server-latency","Server Backend Latencies",,,,,,0,,,
"main-thread-tasks","Tasks",,,,,,0,,,
"metrics","Metrics",,,,,,0,,,
"performance-budget","Performance budget",,,,,,0,,,
"timing-budget","Timing budget",,,,,,0,,,
"resource-summary","Keep request counts low and transfer sizes small",,,,,,0,,,
"third-party-summary","Reduce the impact of third-party code",0,,true,,,0,,,
"third-party-facades","Some third-party resources can be lazy loaded with a facade",0,,true,,,0,,,
"largest-contentful-paint-element","Largest Contentful Paint element",,,,true,,0,,,
"lcp-lazy-loaded","Largest Contentful Paint image was not lazily loaded",,,,,,0,,,
"layout-shift-elements","Avoid large layout shifts",,,,,true,0,,,
"long-tasks","Avoid long main-thread tasks",,,true,,,0,,,
"no-unload-listeners","Registers an `unload` listener",0,,,,,0,,,
"non-composited-animations","Avoid non-composited animations",,,,,true,0,,,
"unsized-images","Image elements do not have explicit `width` and `height`",0,,,,true,0,,,
"valid-source-maps","Missing source maps for large first-party JavaScript",0,,,,,,,0,
"preload-lcp-image","Preload Largest Contentful Paint image",1,,,true,,0,,,
"csp-xss","Ensure CSP is effective against XSS attacks",,,,,,,,0,
"full-page-screenshot","Full-page screenshot",,,,,,,,,
"script-treemap-data","Script Treemap Data",,,,,,0,,,
"accesskeys","`[accesskey]` values are unique",,,,,,,0,,
"aria-allowed-attr","`[aria-*]` attributes match their roles",1,,,,,,10,,
"aria-command-name","`button`, `link`, and `menuitem` elements have accessible names",1,,,,,,3,,
"aria-hidden-body","`[aria-hidden=""true""]` is not present on the document `<body>`",1,,,,,,10,,
"aria-hidden-focus","`[aria-hidden=""true""]` elements do not contain focusable descendents",1,,,,,,3,,
"aria-input-field-name","ARIA input fields have accessible names",,,,,,,0,,
"aria-meter-name","ARIA `meter` elements have accessible names",,,,,,,0,,
"aria-progressbar-name","ARIA `progressbar` elements have accessible names",1,,,,,,3,,
"aria-required-attr","`[role]`s have all required `[aria-*]` attributes",1,,,,,,10,,
"aria-required-children","Elements with an ARIA `[role]` that require children to contain a specific `[role]` have all required children.",,,,,,,0,,
"aria-required-parent","`[role]`s are contained by their required parent element",,,,,,,0,,
"aria-roles","`[role]` values are valid",1,,,,,,10,,
"aria-toggle-field-name","ARIA toggle fields have accessible names",,,,,,,0,,
"aria-tooltip-name","ARIA `tooltip` elements have accessible names",,,,,,,0,,
"aria-treeitem-name","ARIA `treeitem` elements have accessible names",,,,,,,0,,
"aria-valid-attr-value","`[aria-*]` attributes have valid values",1,,,,,,10,,
"aria-valid-attr","`[aria-*]` attributes are valid and not misspelled",1,,,,,,10,,
"button-name","Buttons have an accessible name",1,,,,,,10,,
"bypass","The page contains a heading, skip link, or landmark region",1,,,,,,3,,
"color-contrast","Background and foreground colors do not have a sufficient contrast ratio.",0,,,,,,3,,
"definition-list","`<dl>`'s contain only properly-ordered `<dt>` and `<dd>` groups, `<script>`, `<template>` or `<div>` elements.",,,,,,,0,,
"dlitem","Definition list items are wrapped in `<dl>` elements",,,,,,,0,,
"document-title","Document doesn't have a `<title>` element",0,,,,,,3,,1
"duplicate-id-active","`[id]` attributes on active, focusable elements are unique",1,,,,,,3,,
"duplicate-id-aria","ARIA IDs are unique",1,,,,,,10,,
"form-field-multiple-labels","No form fields have multiple labels",,,,,,,0,,
"frame-title","`<frame>` or `<iframe>` elements have a title",,,,,,,0,,
"heading-order","Heading elements appear in a sequentially-descending order",1,,,,,,2,,
"html-has-lang","`<html>` element has a `[lang]` attribute",1,,,,,,3,,
"html-lang-valid","`<html>` element has a valid value for its `[lang]` attribute",1,,,,,,3,,
"image-alt","Image elements have `[alt]` attributes",1,,,,,,10,,1
"input-image-alt","`<input type=""image"">` elements have `[alt]` text",,,,,,,0,,
"label","Form elements have associated labels",1,,,,,,10,,
"link-name","Links have a discernible name",1,,,,,,3,,
"list","Lists do not contain only `<li>` elements and script supporting elements (`<script>` and `<template>`).",0,,,,,,3,,
"listitem","List items (`<li>`) are not contained within `<ul>` or `<ol>` parent elements.",0,,,,,,3,,
"meta-refresh","The document does not use `<meta http-equiv=""refresh"">`",,,,,,,0,,
"meta-viewport","`[user-scalable=""no""]` is used in the `<meta name=""viewport"">` element or the `[maximum-scale]` attribute is less than 5.",0,,,,,,10,,
"object-alt","`<object>` elements have alternate text",,,,,,,0,,
"tabindex","No element has a `[tabindex]` value greater than 0",1,,,,,,3,,
"td-headers-attr","Cells in a `<table>` element that use the `[headers]` attribute refer to table cells within the same table.",,,,,,,0,,
"th-has-data-cells","`<th>` elements and elements with `[role=""columnheader""/""rowheader""]` have data cells they describe.",,,,,,,0,,
"valid-lang","`[lang]` attributes have a valid value",,,,,,,0,,
"video-caption","`<video>` elements contain a `<track>` element with `[kind=""captions""]`",,,,,,,0,,
"custom-controls-labels","Custom controls have associated labels",,,,,,,0,,
"custom-controls-roles","Custom controls have ARIA roles",,,,,,,0,,
"focus-traps","User focus is not accidentally trapped in a region",,,,,,,0,,
"focusable-controls","Interactive controls are keyboard focusable",,,,,,,0,,
"interactive-element-affordance","Interactive elements indicate their purpose and state",,,,,,,0,,
"logical-tab-order","The page has a logical tab order",,,,,,,0,,
"managed-focus","The user's focus is directed to new content added to the page",,,,,,,0,,
"offscreen-content-hidden","Offscreen content is hidden from assistive technology",,,,,,,0,,
"use-landmarks","HTML5 landmark elements are used to improve navigation",,,,,,,0,,
"visual-order-follows-dom","Visual order on the page follows DOM order",,,,,,,0,,
"uses-long-cache-ttl","Serve static assets with an efficient cache policy",0.08,,,,,0,,,
"total-byte-weight","Avoid enormous network payloads",0.01,,,true,,0,,,
"offscreen-images","Defer offscreen images",0.46,,,,,0,,,
"render-blocking-resources","Eliminate render-blocking resources",0.36,true,,true,,0,,,
"unminified-css","Minify CSS",1,true,,true,,0,,,
"unminified-javascript","Minify JavaScript",1,true,,true,,0,,,
"unused-css-rules","Reduce unused CSS",0.45,true,,true,,0,,,
"unused-javascript","Reduce unused JavaScript",0,,,true,,0,,,
"modern-image-formats","Serve images in next-gen formats",0.67,,,,,0,,,
"uses-optimized-images","Efficiently encode images",1,,,,,0,,,
"uses-text-compression","Enable text compression",0.83,true,,true,,0,,,
"uses-responsive-images","Properly size images",1,,,,,0,,,
"efficient-animated-content","Use video formats for animated content",1,,,true,,0,,,
"duplicated-javascript","Remove duplicate modules in JavaScript bundles",1,,true,,,0,,,
"legacy-javascript","Avoid serving legacy JavaScript to modern browsers",0.88,,true,,,0,,,
"doctype","Page has the HTML doctype",1,,,,,,,1,
"charset","Properly defines charset",1,,,,,,,1,
"dom-size","Avoids an excessive DOM size",0.99,,true,,,0,,,
"geolocation-on-start","Avoids requesting the geolocation permission on page load",1,,,,,,,1,
"inspector-issues","No issues in the `Issues` panel in Chrome Devtools",1,,,,,,,1,
"no-document-write","Avoids `document.write()`",1,,,,,0,,,
"no-vulnerable-libraries","Avoids front-end JavaScript libraries with known security vulnerabilities",1,,,,,,,1,
"js-libraries","Detected JavaScript libraries",,,,,,,,0,
"notification-on-start","Avoids requesting the notification permission on page load",1,,,,,,,1,
"password-inputs-can-be-pasted-into","Allows users to paste into password fields",1,,,,,,,1,
"uses-http2","Use HTTP/2",1,,,,,0,,,
"uses-passive-event-listeners","Does not use passive listeners to improve scrolling performance",0,,,,,0,,,
"meta-description","Document does not have a meta description",0,,,,,,,,1
"http-status-code","Page has successful HTTP status code",1,,,,,,,,1
"font-size","Document uses legible font sizes",1,,,,,,,,1
"link-text","Links have descriptive text",1,,,,,,,,1
"crawlable-anchors","Links are not crawlable",0,,,,,,,,1
"is-crawlable","Page is blocked from indexing",0,,,,,,,,1
"robots-txt","robots.txt is valid",1,,,,,,,,1
"tap-targets","Tap targets are sized appropriately",1,,,,,,,,1
"hreflang","Document has a valid `hreflang`",1,,,,,,,,1
"plugins","Document avoids plugins",1,,,,,,,,1
"canonical","Document has a valid `rel=canonical`",1,,,,,,,,1
"structured-data","Structured data is valid",,,,,,,,,0
